(be) subject to ～,～を受けやすい、～に陥りやすい
 explicit[形],明白な、明確な、率直な
 exploit[動],利用する、つけ込む、搾取する、開発する
 exploit[名],偉業
 explore[動],探検する、探究する、調査する
 explosion[名],爆発、破裂
 expose[動],さらす、暴露する
 exposure[名],（自然環境や危険に）さらされていること
 extensive[形],広範囲にわたる
 exterminate[動],（害虫などを）駆除する
 extinction[名],絶滅、消滅
 extinguish[動],（火などを）消す
 extort[動],強要する、無理強いする
 extract[動],抽出する
 extract[名],抽出物（エキス）
 extraordinary[形],並はずれた
 extravagant[形],浪費する、金遣いの荒い
 extremity[名],先端、極度
 fabricate[動],作り上げる、でっちあげる、製作する
 facade[名],（建物の）正面、外見
 facilitate[動],容易にする、促進する
 facility[名],設備、施設
 faculty[名],（大学の）教授陣、学部
 faith[名],信頼、信仰、信念
 fake[形],にせ物の
 falsify[動],変造する、改ざんする
 fame[名],名声
 familiarize[動],～に精通させる、～に親しませる
 famine[名],飢饉
 fanatically[副],熱狂的に
 fascination[名],魅了
 fatal[形],致命的な、命にかかわる
 fatality[名],死亡者、死亡者数
 fatigue[名],疲労
 faulty[形],欠陥のある、誤った
 feasible[形],実現（実行）可能な
 feast[名],祝宴、ごちそう
 federal[形],連邦の、連邦政府の
 fertility[名],肥沃、多産、受精率
 fertilizer[名],肥料
 fictional[形],作り話の、架空の
 fictitious[形],創作の、架空の、偽りの
 fierce[形],猛烈な、激しい、どう猛な
 filthy[形],卑猥な、不潔な
 finance[動],出資する
 finance[名],財政、財務、金融
 finding[名],発見、調査結果
 fine[動],〜に罰金を科す
 fine[名],罰金
 firm[名],会社
 firsthand[副],直接
 fitfully[副],断続的に
 fixated[形],異常に執着した
 flare[動],（炎が）ゆらめく
 flaw[名],欠陥、不具合、不備
 flexible[形],柔軟な、融通のきく
 flicker[名],揺らめく炎、ちらつき
 flip[動],を（ぱっと）裏返す、をめくる
 flock[動],群がる
 flock[名],（鳥、ヒツジなどの）群れ
 flourish[動],繁栄する、繁殖する、繁茂する
 fluently[副],流ちょうに、ペラペラと
 fluid[名],液体、流動体
 fluid[形],流動的な
 foe[名],敵、かたき
 foil[動],失敗させる、挫折させる
 folklore[名],民間伝承、民俗学
 forbid[動],〜を禁じる、許さない
 foresight[名],先見、将来への洞察
 forestry[名],林学、森林管理（法）、森林地帯
 foretell[動],予言する
 forfeit[動],失う、没収される
 forgo[動],なしですませる、慎む
 formalize[動],形式化する、を正式のものにする
 formidable[形],手ごわい、ぞっとするような
 formulate[動],（計画など）をまとめる、作り上げる、公式化する、明確に述べる
 forthcoming[形],来たるべき、今度の
 fortune[名],富、財産、幸運
 forum[名],公開討論会
 fossil[名],化石
 foster[動],促進する、育む
 fraction[名],わずか、ほんの一部、断片
 fracture[名],割れ目、裂け目、骨折
 fragile[形],壊れやすい、もろい
 fragment[名],かけら、断片、破片
 fragrance[名],芳香、香水
 fragrant[形],香りの良い、芳香性の
 frail[形],ひ弱な、はかない、もろい
 frantic[形],熱狂した、狂乱した
 fraud[名],詐欺、不正行為
 freight[名],貨物
frenzy[名],逆上、激高、精神錯乱状態
 friction[名],摩擦、不和
 fright[名],恐怖、驚き、奇怪な人
 frustrate[動],イライラさせる、失望させる
 fuel[名],燃料
 fulfill[動],（要求、目的などを）満たす、かなえる
 fumble[動],手探りする、いじくる
 fumigate[動],〜を燻蒸消毒する
 fund[動],資金を出す
 fund[名],資金、基金
 fundamental[形],基本的な、根本的な
 furious[形],激怒した、憤慨した
 furnish[動],（部屋などに）家具を備え付ける
 furry[形],毛皮におおわれた、毛皮を着た
 furthermore[副],おまけに、さらに、その上
 furthermost[形],最も遠い（離れた）
 fusion[名],融合、統合、（政党などの）連立
 futile[形],無駄な、無益な、くだらない
 gap[名],ギャップ、格差、隔たり
 gauge[動],測定する、評価する、判断する
 genaralization[名],一般化、概括
 gender[名],（社会的・文化的）性別
 generate[動],発生させる、作り出す
 generosity[名],気前の良さ、寛大さ
 genetic[形],遺伝的な、遺伝子の
 genetically[副],遺伝子的に
 genuine[形],純粋な、誠実な、本物の
 geometry[名],幾何学
 glare[名],ギラギラする光、まぶしい輝き
 gleam[名],かすかな光、ひらめき
 glimpse[名],ちらりと見ること
 gloomy[形],陰気な、薄暗い
 gracious[形],親切な
 grant[動],与える、許可する
 grant[名],補助金、助成金
 grasp[動],握る、把握する、理解する
 gratify[動],～を喜ばせる
 gratitude[名],感謝（の意）
 grave[名],墓
 grave[形],重大な、荘重な
 gravitational[形],重力の、引力の
 graze[動],（家畜などが）草を食べる、（家畜などに）草を食べさせる
 graze[動],（皮膚など）をすりむく、かすめて通る
 grim[形],厳格な、厳しい、残酷な、無慈悲な
 grind[動],（粉などを）挽く、すりつぶす、を砕く
 gross[形],総計の
 groundwater[名],地下水
 grumble[動],不満を言う
 guarantee[動],保証する
 guarantee[名],保証
 guideline[名],（複数形で）指針、ガイドライン
 guilty[形],有罪の、罪の意識がある
 gullible[形],だまされやすい
 gulp[動],がぶがぶ飲む
 habitat[名],生息地、生息環境
 habitual[形],習慣的な、いつもの、普段の
 hail[動],賞賛する、認める
 hail[名],あられ、ひょう
 halt[動],中止する、中断する
 halt[名],（一時的）停止、休止
 hamper[動],邪魔する、妨げる
 hapless[形],不幸な
 hardship[名],苦難、困窮
 hardy[形],耐寒性の、頑丈な、勇敢な
 harmonious[形],調和した
 harsh[形],手厳しい、辛辣な
 harvest[動],収穫する、刈り入れる
 harvest[名],収穫（物）、収穫高
 hasty[形],急いだ、せわしい、早まった
 hatch[動],（卵が）かえる、孵化する
 haunt[動],（幽霊などが）出没する、つきまとう
 haven[名],避難所、保護区
 hazard[名],危険
 hazardous[形],（化学物質などが）（人体に）有害な
 hectic[形],慌ただしい、大変忙しい
 heed[動],耳を傾ける、気を付ける
 herd[動],群れを追いやる、一カ所に集める、（家畜を）世話する
 herd[名],（牛などの）群れ
 hereditary[形],遺伝の
 heritage[名],伝統、遺産
 hesitant[形],躊躇した
 hierarchy[名],（社会の）階層
 highlight[動],強調する、目立たせる
 hinder[動],妨げる
 hinge[名],ちょうつがい
 holdover[名],遺物、留任者、留年者
 hollow[形],空洞の、くぼんだ、空虚な、うわべだけの、内容のない
 horizontal[形],水平の、地平線の
 horrify[動],ぞっとされる、怖がらせる
 hospitality[名],歓迎、もてなし
 hospitalization[名],入院（状態）
 hostage[名],人質
 hostile[形],敵意のある、非友好的な
 hostility[名],敵意
 hover[動],空中に停止する、うろつく
 hub[名],中心（地）、中核
 huddle[動],（寒さなどで）体を寄せ合う
 hull[名],船体、外皮、皮、穀、さや
 humane[形],慈悲深い、思いやりのある、人道にかなった
 humanitarian[形],人道的な
 humble[形],卑しい、身分が低い
 humidity[名],湿気
 humiliate[動],自尊心を傷つける、恥をかかせる
 hunch[名],こぶ、固まり
 hybrid[名],交配種、掛け合わせ、ハイブリッド車
 hybrid[形],雑種の、混成の、掛け合わせの
 hydrogen[名],水素
 hygiene[名],衛生、衛生管理状態、清潔
 hypertension[名],高血圧、高血圧症
 hypocritical[形],偽善的な
 hypothetical[形],仮想的な、仮説の
 hysterical[形],ヒステリックな、理性を失った
 identical[形],同一の
 identify[動],（身元などを）特定する、識別する
 ignition[名],点火
 ignorance[名],無知、知らないこと
 ignore[動],無視する、知らないふりをする
 illegal[形],違法の、不法の
 illicit[形],違法な、不法な
 illiterate[形],無学の、読み書きのできない
 illustrate[動],例証する、図解する
 imitate[動],まねる、模倣する
 immediate[形],即座の、即時の、直接の
 immerse[動],浸す、没頭させる
 immigrant[名],（外からの）移民、移住者
 immigrate[動],（国外から）移住してくる
 imminent[形],差し迫った、切迫した
 immortality[名],不死
 immune[形],免疫の、免疫のある
 impact[名],影響、反響、衝突
 impair[動],損なう、弱める
 impede[動],妨げる、邪魔する
 impersonal[形],人間味を欠いた、人間味のない、客観的な
 implement[動],実行する、実践する
 implicate[動],関係させる、巻き込む、含意する
 implication[名],含蓄、ほのめかし、結果
 implosion[名],（組織などの）内部崩壊、内破
 imply[動],暗に意味する、ほのめかす
 imposing[形],印象的な、人目を引く、堂々とした
 imposition[名],課税
 impressive[形],印象的な
 imprint[動],判を押す、心に刻み込む
 improper[形],適切でない、無作法な、ふさわしくない
 impulse[名],衝動
 impulsive[形],衝動的な
 inaccurate[形],不正確な
 incentive[名],誘因、（やる気を）駆り立てるもの
 inception[名],（活動、組織などの）開始、発端、創設
 incessant[形],絶え間のない
 incidence[名],発生、発生率
 incident[名],（偶発的）事故、事件
 incidentally[副],偶然に、付随的に
 incisive[形],明敏な、鋭い
 inclusive[形],包括的な
 incompatible[形],相性が悪い、相いれない、互換性のない
 incomprehensible[形],理解できない、わかりにくい
 incorporate[動],合体させる、組み入れる
 incredible[形],驚異的な、信じがたい
 indebted[形],恩を受けている
 indecisive[形],優柔不断の
 indefinite[形],不明確な、（数や時間などが）限定されていない、不定の
 indicate[動],示す、指摘する
 indifferent[形],無関心な
 indigenous[形],原産の、先住の
 indispensable[形],不可欠な、必須の
 indisputable[形],議論の余地のない、明白な
 induce[動],引き起こす、誘発する、説得する
 indulgent[形],寛大な、甘い
 industrialization[名],産業化、工業化
 industrialize[動],産業化（工業化）する
 inefficient[形],非効率的な、能率の悪い、役に立たない
 inept[形],技量に欠ける
 inevitable[形],不可避の、必然的な
 infamous[形],悪名高い、不名誉な
 infant[名],幼児、乳児
 infant[形],幼児の
 infect[動],病気をうつす、感染させる
 inflict[動],（害などを）負わせる、与える
 influential[形],影響力の大きい、影響力のある
 informative[形],有益な、情報を得ることができる
 infrastructure[名],経済基盤、社会基盤
 infringe[動],権利を侵害する、（法を）破る
 infusion[名],注入、点滴
 ingenuity[名],創意、器用さ
 ingredient[名],成分、原料、構成要素
 inhabitant[名],住民、居住者、棲息動物
 inhale[動],吸い込む、吸収する
 inherent[形],生来の、生得の
 inheritance[名],継承、相続、遺産、遺伝
 inhibit[動],抑制する、（行動、発達などを）妨げる
 initial[形],最初の、初期の
 initiate[動],始める、開始する、着手する
 initiative[名],主導権、新計画
 inject[動],注射する、注入する
 inmate[名],（刑務所の）収監者、囚人
 innermost[形],最も奥の
 innocent[形],無実の、無罪の、無邪気な
 innovation[名],新しい手法、革新
 inquiry[名],質問、問い合わせ、照会、取り調べ、調査
 inscription[名],碑文
insight[名],洞察、見識、洞察力
 insistent[形],執ような
 insoluble[形],（物質が）溶けない
 inspection[名],調査、検査
 inspire[動],鼓舞する、感激させる、駆り立てる
 install[動],取り付ける、導入する、インストールする
 installment[名],分割払いの1回分
 institution[名],機関、施設、学会、団体
 instruction[名],指図、指示、説明（書）、指導
 instrumental[形],重要な役割を果たす、役立つ、器楽の
 insulate[動],防音する、断熱する、絶縁する
 insurance[名],保険
 intact[形],無傷の、完全な姿の、手をつけられていない
 intake[名],取り入れ、摂取量
 intangible[形],触ることのできない、ぼんやりした、実体のない
 integral[形],不可欠な、完全な
 integrate[動],統合する、一体化する
 integrity[名],誠実、高潔、正直さ
 intelligent[形],聡明な、知能の高い
 intelligible[形],理解できる、判読可能な
 intense[形],強烈な
 intensive[形],集中的な、集約的な、激しい、強い
 intentionally[副],故意に、意図的に
 interact[動],影響し合う、相互作用する、交流する
 interaction[名],相互作用、（人と人の）交流
 intercept[動],割り込む、阻止する
 interfere[動],干渉する、介入する、邪魔する
 interference[名],干渉
 intermediate[名],中級者
 intermittent[形],断続的な、間欠的な
 interpret[動],解釈する、通訳する
 interrogate[動],尋問する
 interrupt[動],邪魔をする、妨げる
 intersect[動],交差する、交わる
 intersection[名],交差点
 intervene[動],干渉する、（間に）割って入る、介入する
 intimate[形],親しい、親密な
 intimidate[動],おどす、脅迫する
 intoxicate[動],（酒・麻薬などが）酔わせる、中毒にする
 intrigue[動],興味をそそる、好奇心をそそる
 intrude[動],侵害（侵入）する
 intruder[名],侵入者
 intuitively[副],直感的に
 invalid[形],無効な、病弱な
 invaluable[形],非常に価値のある、非常に貴重な
 invasion[名],侵入、侵略
 invent[動],発明する、考え出す
 inventory[名],在庫、在庫目録
 invest[動],投資する
 investigation[名],調査、研究
 invoice[名],送り状、請求書
 ironically[副],皮肉なことに
 irrational[形],不合理な、筋の通らない
 irrelevant[形],無関係の、見当違いの、重要でない
 irresistible[形],抵抗できない、抑えられない
 irreversible[形],逆にできない
 irrigation[名],灌漑
 irritate[動],いらいらさせる、怒らせる
 isolate[動],孤立させる、隔離する、分離する
 issue[動],発給/発行する、公表する
 issue[名],論点、問題
 itinerary[名],旅行日程（表）
 jeopardy[名],危険、危険にさらされること
 junction[名],合流点、分岐点
 justify[動],正当化する、正当だと証明する
 keen[形],熱心な
 keen[形],（感覚が）鋭敏な
 kinship[名],親族関係、類似
 knowledgeable[形],知識が豊富な
 lamely[副],弱々しく、不十分に
 lament[動],嘆く、嘆き悲しむ、残念に思う
 land[動],着陸する、上陸する、水揚げする、着陸させる
 landmark[名],（建物などのような）目印、重要な出来事
 lapse[名],小さな過失、時の経過
 latitude[名],緯度
 launch[動],開始する、着手する、発射する、売り出す
 lawsuit[名],訴訟
 leak[動],漏れる
 lease[動],リースする、賃借（賃貸）する
 lease[名],賃貸借契約
 leftover[名],（食べ物などの）残り物
 legacy[名],遺産
 legalize[動],合法化する
 legislation[名],立法、法律の制定
 legitimate[形],妥当な、筋の通った、合法的な
 lessen[動],少なくする、減らす、小さくする
 lethal[形],致死の、致命的な
 leverage[名],てこの作用、効力、影響力、レバレッジ
 liability[名],（賠償の）責任
 liberate[動],自由にする、釈放する
 likelihood[名],公算、見込み、可能性
 likeness[名],類似
 limb[名],手足、肢
 limitation[名],制限
 linger[動],居残る、ぐずぐずする、長引く
 literacy[名],読み書きの能力、(特定の分野の)技能、知識
 literally[副],文字通り
 litter[動],（ゴミなどを）散らかす、捨てる
 litter[名],（公共の場の）ごみ
 livelihood[名],生計、生活手段
 livestock[名],家畜（類）
 lobby[動],ロビー活動する、陳情する
 lodge[動],泊まる、(苦情などを)申し立てる
 lodging[名],宿、宿泊設備、滞在場所
 lofty[形],崇高な、高慢な、非常に高い
 loyalty[名],忠誠、忠義、愛顧
 lunar[形],月の
 lure[動],引き寄せる、誘い込む
 lure[名],魅惑、魅力
 luxury[名],ぜいたく（品）
 luxury[形],贅沢な、高級な
 magnify[動],拡大する、（事態を）悪化させる
 mainstream[名],主流、主調
 mainstream[形],（思想や芸術などの）主流（派）の
 majestic[形],威厳のある、堂々とした
 makeup[名],構成、組成、構造
 mammal[名],哺乳類、哺乳動物
 mandatory[形],義務的な、必須の
 maneuver[名],操作、操縦、作戦行動、策略
 manipulate[動],操る、操作する
 manufacture[動],製造する、生産する
 manufacture[名],製造、生産
 manuscript[名],原稿
 mare[名],雌馬、雌のロバ
 marital[形],結婚の、夫婦間の
 maritime[形],海事の、海の
 martial[形],戦争の、軍人の、軍隊の
 massive[形],大きい、圧倒的な
 materialism[名],物質主義、唯物論、唯物主義
 maternity[名],母性、産科（病院）
 maternity[形],妊婦の
 mature[動],（人が）円熟する、成熟する、大人になる、成長する
 mature[形],成熟した
 measure[動],測る、測定する、評価する
 measure[名],対策、手段、処置
 mediate[動],調停する、仲介する
 mediator[名],調停者
 medication[名],医薬、投薬
 medieval[形],中世の
 mediocre[形],並の、平凡な、普通の
 meditate[動],瞑想する
 mellow[形],熟している、メロウな、やわらかい
 melodious[形],耳に心地よい
 memoir[名],回想録、伝記
 menace[名],脅威、脅迫
 mercy[名],慈悲、哀れみ、情け
 merge[動],合併する、合流する
 merger[名],合併、合同、統合
 merit[名],長所、利点、功績
 metropolis[名],大都市
 migrate[動],移動する、移住する、（鳥などが）渡る
 migration[名],移住、移動、渡り、回避
 milestone[名],道しるべ、画期的事件、節目
 millennium[名],千年間、千年紀
 mimic[動],まねる、物まねをする、再現する
 mingle[動],混ぜる、調合する、交際する
 minimal[形],最小の、最小限度の
 minimize[動],最小限にする
 minimum[名],最小限度
 minimum[形],最小限の、最小の
 minor[名],未成年者
 minor[形],小さい、少ない、重要でない
 minute[形],小さい、詳細な、微細な
 mischievous[形],いたずら好きな
 mobilize[動],動員する
 moderate[形],並みの、中庸な、適度な
 modernization[名],近代（現代）化
 modest[形],謙虚な、控えめな、地味な
 modify[動],変更する、修正する
 moisture[名],水分、湿気
 mold[名],カビ
 molecule[名],分子
 monarch[名],絶対君主、国王
 monitor[動],監視する、観測する
 monopolize[動],独占する
 monotonous[形],単調な、一本調子の
 monotonously[副],単調に
 mortal[形],致命的な、死ぬ運命にある
 mortgage[名],住宅ローン、抵当、担保
 motivate[動],動機を与える、刺激する
 motive[名],動機、誘因
 mourn[動],悲しむ、悼む
 mourning[名],哀悼、喪服
 multinational[形],多国籍の
 multiple[形],多数の、複数の、多様な
 mumble[動],つぶやく
 mundane[形],この世の、ありきたりの、日常の、
 murky[形],暗い、陰気な、濁った、うさん臭い
 mutual[形],相互の
 mythology[名],神話学
 naive[形],素朴な、愚直な、単純な、お人好しな、世間知らずの
 narrative[名],物語り、話
 nauseous[形],吐き気のする（ような）
 navigate[動],航行する、進路を決める
 neglect[動],無視する、おろそかにする
 neglect[名],無視
 negligence[名],怠慢、手抜き、過失
 negotiate[動],交渉する
 nerve[名],神経
 neurological[形],神経（病）学の
neutral[形],中立の
 nevertheless[副],それにもかかわらず
 noble[形],高貴な、崇高な、
 nomadic[形],遊牧（民）の、放浪の
 nominally[副],名目上は
 nominate[動],指名する
 nonetheless[副],それにもかかわらず
 notable[形],有名な、注目すべき
 noticeable[形],目立つ、人目を引く、顕著な
 notify[動],知らせる
 notorious[形],悪名高い
 novel[名],小説
 novel[形],目新しい、斬新な
 novelty[名],目新しい物事、斬新さ
 nudge[動],ひじで軽く突く、優しく説得する
 nuisance[名],厄介なこと/人、迷惑
 numb[形],かじかんだ、まひした、ぼうぜんとした
 numerous[形],数多くの
 nurture[動],育てる、栄養を与える
 nutritious[形],栄養のある
 obedient[形],従順な
 obesity[名],肥満
 objection[名],反対、異議、不服
 objective[名],目標、目的
 objective[形],客観的な、偏見のない
 obligation[名],義務、責務
 obnoxious[形],非常に不快な、嫌な、反抗的な
 obscure[形],不明瞭な、知られていない、曖昧な
 observance[名],行事、順守
 obsessed[形],とりつかれている
 obsolete[形],すたれた、時代遅れの
 obstacle[名],障害（物）、邪魔なもの
 obstruct[動],妨害する、さえぎる
 obtain[動],得る、取得する
 obtainable[形],得られる
 obvious[形],明らかな、明白な
 occupancy[名],（ホテルや部屋等の）占有、占有人数
 occupation[名],職業
 odor[名],におい、悪臭
 offensive[形],侮辱的な、けんか腰の、不快な
 offset[動],相殺する
 offset[名],相殺するもの、オフセット
 offspring[名],子孫、子
 ominous[形],不吉な、悪いことの前兆となる
 omit[動],除く、省く、削除する
 ongoing[形],進行中の、継続中の
 onset[名],始まり、着手、（病気などの）兆候
 operational[形],活動中の、運動中の
 operative[形],機能（作用）している、効力のある
 opponent[名],（試合、論争などの）相手、反対者、反対派
 opportune[形],適切な
 oppose[動],反対する
 oppress[動],抑圧する
 oppressive[形],制圧的な、抑圧的な
 optimistic[形],楽観的な、楽観主義の
 option[名],選択、選択肢、オプション
 optional[形],随意の、任意の
 orbit[動],（惑星/人工衛星が）軌道を回る
 orbit[名],（惑星などの）軌道
 ordeal[名],苦しい試練
 organism[名],生物、有機体
 originate[動],生じる、始まる、（～に）起源がある
 ornament[名],装飾（品）
 orphan[動],孤児にする
 outage[名],機能停止期間、供給停止期間
 outbreak[名],発生、勃発
 outburst[名],爆発、大出現
 outcome[名],結果、結末
 outdated[形],時代遅れの
 outermost[形],最も外側の
 outgoing[形],社交的な、外向的な、発信用の、外に出ていく
 outlive[動],〜より長生きする
 output[名],生産（高）
 outrageous[形],途方もない、法外な、無法な
 outright[形],徹底的な、率直な
 outset[名],着手、発端、初め
 outsider[名],よそ者、部外者
 outskirt[名],(町・都市の)外れ、郊外、周辺
 outsource[動],外注/外部委託（アウトソース）する
 outstanding[形],極めて優れた、際立った
 outweigh[動],～より重い、～に勝る、～を上回る
 overall[副],概して
 overall[形],全体の、全部の、総合的な
 overcast[形],曇った
 overcome[動],克服する、乗り越える
 overdue[形],期日が過ぎた、期限切れの
 overhaul[動],徹底的に見直す、精査する
 overlap[動],重ねる
 overlook[動],見落とす、見過ごす、大目に見る
 overly[副],過度に、非常に
 overplay[動],強調しすぎる、過大評価する
 oversee[動],監督する、取り締まる
 overtake[動],追い抜く
 overthrow[動],転覆させる、撤廃する
 overwhelm[動],圧倒する、打ちのめす
 pacify[動],なだめる、静める、鎮定する
 painstaking[形],労を惜しまない、勤勉な、丹精込めた
 pamper[動],（子供など）を甘やかす、（欲望など）を思う存分満たす
 parallel[形],平行の、類似した
 parallel[形],平行して
 paralyze[動],麻痺させる
 parasite[名],寄生虫、寄生動物
 partial[形],部分的な
 participation[名],参加
 particle[名],粒子、微粒子、素粒子
 passionate[形],情熱的な、熱烈な
 pastime[名],娯楽、気晴らし、余暇の楽しみ
 patent[名],特許（権）、特許品
 pathetic[形],痛ましい、哀れを誘う、みじめな
 pawnbroker[名],質屋
 peculiar[形],特有の、奇妙な
 pedestrian[名],歩行者、徒歩旅行者
 peer[名],同僚、仲間
 penetrate[動],貫く、突破する、浸透する
 pension[名],年金、恩給
 perception[名],知覚、認知、認識
 perch[動],(鳥が木などに)止まる
 perilous[形],危険な、危険の多い
 perimeter[名],（図形の）周囲
 permanent[形],永遠の、永久的な
 permanently[副],永久に
 perpetual[形],永久の、永遠の
 perplexing[形],面倒な
 persecution[名],迫害
 persist[動],固執する、（習慣などが）存続する
 persistent[形],持続的な、持続性の、粘り強い
 personnel[名],職員、人員、人事部門
 personnel[形],人事の、職員の
 perspective[名],視点、見方、遠近法、透視図法
 perspire[動],発汗する、汗をかく
 persuade[動],説得する
 pest[名],害虫、疫病
 pesticide[名],殺虫剤
 petition[名],請求、申請、嘆願
 petty[形],ささいな、小規模な、価値の少ない
 physician[名],内科医
 physics[名],物理学
 pierce[動],貫く、（穴）を開ける
 pilgrim[名],巡礼者
 pinch[動],つねる、（強く）はさむ
 pinpoint[動],（原因などを）正確に指摘する
 pious[形],信心深い、敬謙な
 plagiarism[名],盗用、盗作
 plantation[名],農園、大農場、植林地
 plausible[形],もっともらしい、理にかなっている
 plea[名],答弁、抗弁、嘆願、請願
 plead[動],嘆願する、懇願する
 pledge[動],誓約する、保証する
 plight[名],窮状
 plot[動],（グラフなどを）描く、（方眼紙上などで）点を打つ
 plot[名],（映画、物語などの）筋、構想、たくらみ
 pluck[動],もぎ取る、引き抜く
 plunge[動],押し込む、突っ込む、(価格などが)急落する
 poaching[名],密漁/密猟
 poll[名],世論調査
 pollute[動],汚染する
 populate[動],住む、住み着く
 populous[形],人口の多い
 portfolio[名],作品集、有価証券一覧
 portion[名],ポーション、一人分の量、一部分
 portray[動],（人物像などを）描く、表現する
 pose[動],（問題などを）引き起こす、提起する
 possession[名],財産、所有物
 postscript[名],postscript
 posture[名],姿勢、方針、態度
 potential[名],潜在力、将来性、可能性
 potential[形],潜在的な、可能性を秘めた
 pottery[名],陶器類、陶芸
 powerhouse[名],精力家、強大な組織[国家・会社]、発電所
 practitioner[名],開業者、弁護士、開業医
 precarious[形],不安定な、心もとない、当てにならない
 precaution[名],用心、予防措置
 precede[動],（～に）先行する
 precedent[名],先例、前例、判例
 precise[形],正確な、的確な
 precision[名],正確、精密、精度
 preclude[動],排除する、妨げる
 preconceived[形],あらかじめ考えた
 predator[名],捕食動物
 predecessor[名],前任者、前機種、前身
 predict[動],予測する、予言する
 prediction[名],予言、予測
 preference[名],好み、好物、選好
 pregnant[形],妊娠した、懐妊した
 prejudice[名],偏見、先入観
 preliminary[名],下準備、予備段階
 preliminary[形],予備の、暫定の、事前の
 premature[形],早過ぎる、時期尚早の
 premeditated[形],前もって熟慮/計画された
 premium[名],保険料、割増料金
 premonition[名],予告、徴候、前兆、予感
 preoccupied[形],頭がいっぱいな、心を奪われている
 prerequisite[名],必須条件、必要条件
 prescribe[動],（薬など）を処方する、指示する
 preservative[名],防腐剤、保存剤
 preserve[動],保存する、保護する
 preserve[名],自然保護地域
 preside[動],議長を務める、統轄する
 prestige[名],名声、威信、威光
 prestigious[形],高名な、名声のある、権威のある
presumably[副],おそらく、たぶん
 presume[動],推測する、～と思う
 pretense[名],ふり、見せかけ、偽りの行為/装い、口実
 prevail[動],普及している、支配的である
 previously[副],前に、前もって
 prey[名],餌、獲物
 pricey[形],高価な
 primarily[副],第一に、主として
 prime[形],最も重要な、第一の
 primitive[形],原始的な、初期段階の、未開の
 priority[名],優先権、優先順位、優先事項
 privatize[動],民営化する
 privilege[名],特権、特典
 probe[名],探査、探索機、探査ロケット
 problematic[形],問題のある
 procedure[名],手続き、手順
 proclaim[動],宣言する、はっきり示す
 prodigy[名],神童、天才、奇才
 productivity[名],生産性
 profess[動],はっきりと言う、公言する
 profession[名],（専門的な）職業
 proficient[形],堪能な、熟達した
 profile[名],人物紹介、プロフィール
 profound[形],深い、重大な
 prohibit[動],禁止する
 projection[名],投射、投影
 prolong[動],延長する、長引かせる
 prominent[形],目立った、著名な、卓越した
 promising[形],有望な、将来性のある
 promotion[名],昇進、宣伝
 prompt[動],促す、駆り立てる
 prompt[形],迅速な
 propel[動],進ませる、推進する、前へ押し出す
 properly[副],正しく、適切に
 property[名],資産、財産、不動産
 proponent[名],支持者、主唱者
 proportion[名],割合、比率
 prosecute[動],訴追する
 prospect[名],見込み、将来性
 prosper[動],繁栄する、繁盛する
 prosperity[名],繁栄、成功
 protective[形],防護用の、保護の
 protocol[名],議定書、（コンピュータ通信の）プロトコル
 prototype[名],模範、原型、試作品
 provided[接],もし～ならば、～と言う条件で
 province[名],州、県、地方
 provisional[形],仮の、暫定的な
 provoke[動],挑発する、駆り立てる
 proximity[名],近接、近さ
 psychiatry[名],精神医学
 psychology[名],心理学
 publication[名],出版、公表、出版物
 publicity[名],宣伝、広告、知名度
 punctual[形],時間を守る、時間に正確な
 punctuality[名],時間厳守
 pursue[動],追及する、追い求める
 pushover[名],いともたやすいこと、楽な相手、だましやすい人
 qualified[形],適任の、有能な、資格のある
 quest[名],探索、追求
 questionable[形],（真実であることが）疑わしい
 questionnaire[名],質問票、アンケート
 quota[名],割り当て、分担、定員、定数
 quote[動],引用する、引き合いに出す
 quote[名],提示価格、見積もり、引用
 radiation[名],放射能、放射線、放射
 radical[形],急進的な、過激な
 radioactive[形],放射性（能）の（ある）
 raid[動],急襲する、奇襲する、襲撃する
 raid[名],襲撃、急襲、強制捜索
 rainforest[名],（熱帯）雨林
 rally[名],集会
 random[形],無作為の、偶発的な、確率の
 ranger[名],森林警備員、騎馬警察官、パトロール隊
 ransom[動],身代金を払って解放させる
 ransom[名],身代金
 rapidity[名],迅速さ
 rash[形],性急な
 ration[動],配給する
 ration[名],割り当て、配給、配給量
 readership[名],読者層
 reap[動],収穫する
 reasonable[形],筋の通った、もっともな
 reassure[動],安心させる
 rebel[動],反抗する、反乱を起こす
 rebellion[名],謀反、反乱
 rebound[動],はね返る
 recall[動],思い出す
 recede[動],後退する、弱まる
 receptive[形],受容的な、（新しい考えなどを）よく受け入れる
 recess[名],休憩、休暇
 recession[名],景気の後退
 recipient[名],受取人、受賞者
 reciprocate[動],報いる、等価のものを返す
 reckless[形],無謀な、向こう見ずの
 reckon[動],～と考える、推測する
 recognition[名],認識、評価、見覚え
 recognize[動],認識する、それと分かる
 recommend[動],推薦する、勧める
 reconcile[動],調和させる、和解させる
 reconstruct[動],再建する、再構築する
 recruit[動],（新人など）募る、募集する、採用する
 recruit[名],新人、新入生、新入社員
 recruitment[名],新兵/新人の募集
 redeem[動],返済する、取り戻す、引き換える、(弱点などを)補う
 reduction[名],減少、縮小、削減
 redundant[形],重複する、余分な、不必要な
 reference[名],言及、照会、参照、参考書
 referral[名],紹介、推薦、委託される人
 refine[動],精製する、洗練する
